reg_id,dm present,dm notupdated,dm absent,dm total,dm per,deld present,deld notupdated,deld absent,deld total,deld per,oop present,oop notupdated,oop absent,oop total,oop per,cg present,cg notupdated,cg absent,cg total,cg per,fds present,fds notupdated,fds absent,fds total,fds per
10001,17,10,15,42,53.12,24,14,4,42,85.71,17,10,18,45,48.57,32,11,1,44,96.97,21,8,18,47,53.85
10002,25,10,7,42,78.12,10,14,18,42,35.71,19,10,16,45,54.29,17,11,16,44,51.52,9,8,30,47,23.08
10003,23,10,9,42,71.88,13,14,15,42,46.43,16,10,19,45,45.71,31,11,2,44,93.94,13,8,26,47,33.33
10004,29,10,3,42,90.62,26,14,2,42,92.86,24,10,11,45,68.57,15,11,18,44,45.45,10,8,29,47,25.64
10005,6,10,26,42,18.75,26,14,2,42,92.86,28,10,7,45,80.0,29,11,4,44,87.88,15,8,24,47,38.46
10006,12,10,20,42,37.5,16,14,12,42,57.14,9,10,26,45,25.71,27,11,6,44,81.82,22,8,17,47,56.41
10007,21,10,11,42,65.62,15,14,13,42,53.57,23,10,12,45,65.71,16,11,17,44,48.48,26,8,13,47,66.67
10008,16,10,16,42,50.0,13,14,15,42,46.43,21,10,14,45,60.0,24,11,9,44,72.73,18,8,21,47,46.15
10009,7,10,25,42,21.88,5,14,23,42,17.86,26,10,9,45,74.29,27,11,6,44,81.82,16,8,23,47,41.03
10010,16,10,16,42,50.0,13,14,15,42,46.43,7,10,28,45,20.0,13,11,20,44,39.39,28,8,11,47,71.79
10011,13,10,19,42,40.62,16,14,12,42,57.14,18,10,17,45,51.43,6,11,27,44,18.18,18,8,21,47,46.15
10012,8,10,24,42,25.0,7,14,21,42,25.0,27,10,8,45,77.14,20,11,13,44,60.61,32,8,7,47,82.05
10013,5,10,27,42,15.62,9,14,19,42,32.14,14,10,21,45,40.0,25,11,8,44,75.76,15,8,24,47,38.46
10014,31,10,1,42,96.88,12,14,16,42,42.86,19,10,16,45,54.29,19,11,14,44,57.58,28,8,11,47,71.79
10015,15,10,17,42,46.88,19,14,9,42,67.86,18,10,17,45,51.43,11,11,22,44,33.33,21,8,18,47,53.85
10016,7,10,25,42,21.88,7,14,21,42,25.0,22,10,13,45,62.86,17,11,16,44,51.52,23,8,16,47,58.97
10017,5,10,27,42,15.62,22,14,6,42,78.57,10,10,25,45,28.57,16,11,17,44,48.48,16,8,23,47,41.03
10018,16,10,16,42,50.0,23,14,5,42,82.14,13,10,22,45,37.14,13,11,20,44,39.39,30,8,9,47,76.92
10019,24,10,8,42,75.0,19,14,9,42,67.86,13,10,22,45,37.14,21,11,12,44,63.64,27,8,12,47,69.23
10020,22,10,10,42,68.75,7,14,21,42,25.0,22,10,13,45,62.86,21,11,12,44,63.64,16,8,23,47,41.03
10021,26,10,6,42,81.25,7,14,21,42,25.0,12,10,23,45,34.29,27,11,6,44,81.82,21,8,18,47,53.85
10022,5,10,27,42,15.62,13,14,15,42,46.43,28,10,7,45,80.0,20,11,13,44,60.61,23,8,16,47,58.97
10023,9,10,23,42,28.12,25,14,3,42,89.29,17,10,18,45,48.57,15,11,18,44,45.45,16,8,23,47,41.03
10024,27,10,5,42,84.38,16,14,12,42,57.14,12,10,23,45,34.29,23,11,10,44,69.7,22,8,17,47,56.41
10025,27,10,5,42,84.38,20,14,8,42,71.43,29,10,6,45,82.86,13,11,20,44,39.39,26,8,13,47,66.67
10026,28,10,4,42,87.5,7,14,21,42,25.0,10,10,25,45,28.57,19,11,14,44,57.58,10,8,29,47,25.64
10027,21,10,11,42,65.62,25,14,3,42,89.29,8,10,27,45,22.86,6,11,27,44,18.18,35,8,4,47,89.74
10028,22,10,10,42,68.75,9,14,19,42,32.14,19,10,16,45,54.29,16,11,17,44,48.48,19,8,20,47,48.72
10029,27,10,5,42,84.38,15,14,13,42,53.57,17,10,18,45,48.57,13,11,20,44,39.39,8,8,31,47,20.51
10030,15,10,17,42,46.88,17,14,11,42,60.71,16,10,19,45,45.71,15,11,18,44,45.45,19,8,20,47,48.72
10031,23,10,9,42,71.88,17,14,11,42,60.71,19,10,16,45,54.29,22,11,11,44,66.67,16,8,23,47,41.03
10032,7,10,25,42,21.88,6,14,22,42,21.43,32,10,3,45,91.43,18,11,15,44,54.55,28,8,11,47,71.79
10033,7,10,25,42,21.88,15,14,13,42,53.57,32,10,3,45,91.43,15,11,18,44,45.45,38,8,1,47,97.44
10034,9,10,23,42,28.12,6,14,22,42,21.43,28,10,7,45,80.0,12,11,21,44,36.36,17,8,22,47,43.59
