reg_id,em3 present,em3 notupdated,em3 absent,em3 total,em3 per,dsa present,dsa notupdated,dsa absent,dsa total,dsa per,se present,se notupdated,se absent,se total,se per,ppl present,ppl notupdated,ppl absent,ppl total,ppl per,mp present,mp notupdated,mp absent,mp total,mp per
10001,16,9,18,43,47.06,24,12,5,41,82.76,23,8,13,44,63.89,19,10,14,43,57.58,21,10,11,42,65.62
10002,17,9,17,43,50.0,13,12,16,41,44.83,34,8,2,44,94.44,5,10,28,43,15.15,27,10,5,42,84.38
10003,27,9,7,43,79.41,13,12,16,41,44.83,22,8,14,44,61.11,17,10,16,43,51.52,8,10,24,42,25.0
10004,19,9,15,43,55.88,20,12,9,41,68.97,13,8,23,44,36.11,21,10,12,43,63.64,18,10,14,42,56.25
10005,23,9,11,43,67.65,16,12,13,41,55.17,12,8,24,44,33.33,16,10,17,43,48.48,17,10,15,42,53.12
10006,19,9,15,43,55.88,25,12,4,41,86.21,25,8,11,44,69.44,16,10,17,43,48.48,14,10,18,42,43.75
10007,16,9,18,43,47.06,17,12,12,41,58.62,19,8,17,44,52.78,16,10,17,43,48.48,25,10,7,42,78.12
10008,16,9,18,43,47.06,13,12,16,41,44.83,27,8,9,44,75.0,18,10,15,43,54.55,10,10,22,42,31.25
10009,22,9,12,43,64.71,28,12,1,41,96.55,15,8,21,44,41.67,27,10,6,43,81.82,29,10,3,42,90.62
10010,20,9,14,43,58.82,8,12,21,41,27.59,16,8,20,44,44.44,8,10,25,43,24.24,23,10,9,42,71.88
10011,26,9,8,43,76.47,21,12,8,41,72.41,28,8,8,44,77.78,29,10,4,43,87.88,6,10,26,42,18.75
10012,11,9,23,43,32.35,15,12,14,41,51.72,27,8,9,44,75.0,20,10,13,43,60.61,24,10,8,42,75.0
10013,20,9,14,43,58.82,12,12,17,41,41.38,16,8,20,44,44.44,16,10,17,43,48.48,7,10,25,42,21.88
10014,33,9,1,43,97.06,19,12,10,41,65.52,17,8,19,44,47.22,20,10,13,43,60.61,17,10,15,42,53.12
10015,27,9,7,43,79.41,16,12,13,41,55.17,23,8,13,44,63.89,27,10,6,43,81.82,24,10,8,42,75.0
10016,16,9,18,43,47.06,10,12,19,41,34.48,23,8,13,44,63.89,26,10,7,43,78.79,5,10,27,42,15.62
10017,5,9,29,43,14.71,15,12,14,41,51.72,13,8,23,44,36.11,18,10,15,43,54.55,23,10,9,42,71.88
10018,15,9,19,43,44.12,25,12,4,41,86.21,25,8,11,44,69.44,16,10,17,43,48.48,10,10,22,42,31.25
10019,17,9,17,43,50.0,24,12,5,41,82.76,19,8,17,44,52.78,22,10,11,43,66.67,9,10,23,42,28.12
10020,5,9,29,43,14.71,14,12,15,41,48.28,15,8,21,44,41.67,8,10,25,43,24.24,16,10,16,42,50.0
10021,15,9,19,43,44.12,21,12,8,41,72.41,16,8,20,44,44.44,19,10,14,43,57.58,23,10,9,42,71.88
10022,13,9,21,43,38.24,16,12,13,41,55.17,17,8,19,44,47.22,17,10,16,43,51.52,20,10,12,42,62.5
10023,15,9,19,43,44.12,28,12,1,41,96.55,15,8,21,44,41.67,24,10,9,43,72.73,25,10,7,42,78.12
10024,11,9,23,43,32.35,17,12,12,41,58.62,18,8,18,44,50.0,5,10,28,43,15.15,21,10,11,42,65.62
10025,25,9,9,43,73.53,8,12,21,41,27.59,27,8,9,44,75.0,7,10,26,43,21.21,29,10,3,42,90.62
10026,29,9,5,43,85.29,10,12,19,41,34.48,34,8,2,44,94.44,16,10,17,43,48.48,27,10,5,42,84.38
10027,6,9,28,43,17.65,16,12,13,41,55.17,31,8,5,44,86.11,14,10,19,43,42.42,8,10,24,42,25.0
10028,5,9,29,43,14.71,7,12,22,41,24.14,16,8,20,44,44.44,18,10,15,43,54.55,11,10,21,42,34.38
10029,27,9,7,43,79.41,28,12,1,41,96.55,31,8,5,44,86.11,9,10,24,43,27.27,6,10,26,42,18.75
10030,15,9,19,43,44.12,9,12,20,41,31.03,24,8,12,44,66.67,26,10,7,43,78.79,15,10,17,42,46.88
10031,31,9,3,43,91.18,17,12,12,41,58.62,31,8,5,44,86.11,18,10,15,43,54.55,25,10,7,42,78.12
10032,27,9,7,43,79.41,15,12,14,41,51.72,18,8,18,44,50.0,24,10,9,43,72.73,26,10,6,42,81.25
10033,8,9,26,43,23.53,18,12,11,41,62.07,24,8,12,44,66.67,9,10,24,43,27.27,6,10,26,42,18.75
10034,30,9,4,43,88.24,13,12,16,41,44.83,35,8,1,44,97.22,18,10,15,43,54.55,18,10,14,42,56.25
10035,12,9,22,43,35.29,14,12,15,41,48.28,10,8,26,44,27.78,13,10,20,43,39.39,6,10,26,42,18.75
10036,23,9,11,43,67.65,14,12,15,41,48.28,30,8,6,44,83.33,24,10,9,43,72.73,18,10,14,42,56.25
10037,22,9,12,43,64.71,26,12,3,41,89.66,25,8,11,44,69.44,5,10,28,43,15.15,31,10,1,42,96.88
10038,9,9,25,43,26.47,9,12,20,41,31.03,30,8,6,44,83.33,21,10,12,43,63.64,20,10,12,42,62.5
10039,20,9,14,43,58.82,5,12,24,41,17.24,33,8,3,44,91.67,26,10,7,43,78.79,24,10,8,42,75.0
10040,21,9,13,43,61.76,28,12,1,41,96.55,13,8,23,44,36.11,14,10,19,43,42.42,10,10,22,42,31.25
10041,25,9,9,43,73.53,9,12,20,41,31.03,27,8,9,44,75.0,15,10,18,43,45.45,23,10,9,42,71.88
10042,7,9,27,43,20.59,11,12,18,41,37.93,17,8,19,44,47.22,19,10,14,43,57.58,16,10,16,42,50.0
10043,11,9,23,43,32.35,27,12,2,41,93.1,35,8,1,44,97.22,23,10,10,43,69.7,31,10,1,42,96.88
10044,14,9,20,43,41.18,9,12,20,41,31.03,20,8,16,44,55.56,27,10,6,43,81.82,18,10,14,42,56.25
10045,25,9,9,43,73.53,10,12,19,41,34.48,23,8,13,44,63.89,11,10,22,43,33.33,13,10,19,42,40.62
10046,15,9,19,43,44.12,24,12,5,41,82.76,20,8,16,44,55.56,17,10,16,43,51.52,25,10,7,42,78.12
10047,12,9,22,43,35.29,15,12,14,41,51.72,24,8,12,44,66.67,26,10,7,43,78.79,29,10,3,42,90.62
10048,13,9,21,43,38.24,15,12,14,41,51.72,35,8,1,44,97.22,26,10,7,43,78.79,10,10,22,42,31.25
10049,21,9,13,43,61.76,20,12,9,41,68.97,24,8,12,44,66.67,16,10,17,43,48.48,5,10,27,42,15.62
